AAPL,AAPL,AAPL,AAPL,AAPL,GILD,GILD,GILD,GILD,GILD,JNJ,JNJ,JNJ,JNJ,JNJ,MSFT,MSFT,MSFT,MSFT,MSFT,REGN,REGN,REGN,REGN,REGN,TSLA,TSLA,TSLA,TSLA,TSLA
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
117.96,118.36,117.31,118.26,34284501.0,74.04,74.675,73.91,74.42,5025974.0,113.64,114.16,113.093,113.98,4007150.0,60.86,61.3699,60.8,61.01,29949216.0,362.5,367.77,358.2,366.86,362000.0,202.9,204.69,201.2,202.37,1862938.0
114.31,115.7,113.31,115.59,56037814.0,74.54,75.8,74.26,75.38,6890534.0,113.64,115.22,113.6,114.56,4776026.0,60.8,61.2,60.47,60.63,23483399.0,365.0,367.9,360.07,363.12,336952.0,201.0,203.19,200.1,202.34,2623373.0
115.39,115.86,114.1,114.5,22647683.0,76.01,76.3562,75.64,75.84,7801858.0,114.98,116.55,114.79,115.7,5777933.0,60.62,60.83,60.09,60.11,24532900.0,365.34,370.0,362.745,365.46,335815.0,211.34,213.7,201.65,204.01,11240917.0
113.86,115.21,113.45,113.72,31334377.0,74.69,74.78,73.23,73.87,11282552.0,115.82,115.91,114.57,115.35,7171165.0,60.01,60.52,59.58,59.87,25868056.0,363.58,364.12,348.49,356.31,814424.0,204.0,205.32,199.83,200.08,3694654.0
113.65,114.23,113.2,113.56,20121122.0,74.09,74.44,73.55,73.63,6490362.0,115.25,116.23,114.5,116.0,6043292.0,60.16,60.42,59.93,59.93,19487109.0,357.21,358.55,344.85,345.08,647905.0,202.49,202.49,195.81,197.72,3630341.0
113.46,113.77,110.53,111.49,36702388.0,73.63,74.29,73.06,74.08,8323682.0,114.76,115.94,114.63,115.35,5847144.0,60.0,60.02,59.25,59.8,20864523.0,345.52,352.31,340.8,346.67,746682.0,198.04,198.5,188.105,190.82,5760928.0
111.4,112.35,111.23,111.6,23002755.0,74.0,74.35,72.45,72.5,11896863.0,115.52,115.76,114.83,114.87,4886296.0,59.82,59.93,59.3,59.43,18577428.0,346.65,346.65,341.57,343.66,481602.0,190.05,192.6951,187.505,188.03,3498961.0
110.98,111.46,109.55,109.82,21826879.0,72.33,72.93,71.68,71.76,7124710.0,114.88,115.4393,114.75,115.04,4075605.0,59.53,59.64,59.11,59.2,16695965.0,343.51,346.43,331.95,336.27,919717.0,189.01,191.47,187.0401,187.42,2113497.0
108.53,110.25,108.11,108.84,25466882.0,71.52,73.29,71.4,72.43,9259644.0,115.04,115.94,115.04,115.12,4949853.0,58.74,59.28,58.52,58.71,22386455.0,325.62,351.745,325.35,341.39,1530992.0,189.0,193.46,185.96,190.56,4269185.0
110.1,110.51,109.46,110.41,26598058.0,73.48,74.71,73.05,74.0,7762706.0,115.89,116.72,115.84,116.6426,4756426.0,59.795,60.52,59.78,60.42,24180840.0,347.48,366.84,344.19,365.42,1012174.0,193.59,194.29,190.05,193.19,3219145.0
