AAPL,AAPL,AAPL,AAPL,AAPL,BRK.B,BRK.B,BRK.B,BRK.B,BRK.B,MSFT,MSFT,MSFT,MSFT,MSFT
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
113.46,113.77,110.53,111.49,36702388.0,144.68,144.86,143.11,143.59,2545967.0,60.0,60.02,59.25,59.8,20864523.0
111.4,112.35,111.23,111.6,23002755.0,143.18,143.86,142.911,143.22,2376457.0,59.82,59.93,59.3,59.43,18577428.0
110.98,111.46,109.55,109.82,21826879.0,143.25,144.45,143.2,143.6901,2043179.0,59.53,59.64,59.11,59.2,16695965.0
108.53,110.25,108.11,108.84,25466882.0,143.45,143.8,142.3476,142.98,2625182.0,58.74,59.28,58.52,58.71,22386455.0
110.1,110.51,109.46,110.41,26598058.0,144.71,147.17,144.3,146.9,4056387.0,59.795,60.52,59.78,60.42,24180840.0
110.31,111.72,109.7,111.06,20661519.0,146.89,148.14,146.4,147.79,2837517.0,60.55,60.78,60.15,60.47,19613612.0
109.88,111.32,108.05,110.88,48414780.0,146.1,151.64,145.1,151.29,6574057.0,60.0,60.59,59.2,60.17,41737253.0
111.08,111.09,105.83,107.79,50396362.0,151.65,156.613,151.65,156.24,6424692.0,60.48,60.49,57.6302,58.71,50869218.0
107.12,108.87,106.55,108.42,29535607.0,155.3,157.28,155.15,156.82,3407879.0,58.27,59.116,58.01,59.02,31874403.0
107.71,107.809,104.08,105.7,44922624.0,157.48,158.16,156.53,158.07,4239814.0,59.1,59.1,57.28,58.12,34473815.0
106.57,107.68,106.1593,107.11,27342361.0,157.61,157.82,156.09,157.52,3578471.0,58.32,59.49,58.315,58.87,28862044.0
106.7,110.23,105.15,110.01,34086433.0,157.02,157.59,156.02,157.06,3477509.0,58.94,59.66,54.27,59.64,21150032.0
109.82,110.35,108.83,109.94,23538548.0,156.81,158.64,156.3,158.38,2779422.0,60.41,60.95,59.965,60.64,27379935.0
109.72,110.54,109.66,110.06,21775028.0,158.35,158.48,157.17,157.8,2450274.0,60.72,61.14,60.3,60.37,21753885.0
110.12,111.99,110.01,111.73,22945006.0,158.0,158.71,157.42,158.71,1979364.0,60.54,60.97,60.42,60.87,15522685.0
111.95,112.42,111.4,111.77,18575454.0,159.01,159.09,157.83,158.61,2133626.0,60.98,61.26,60.805,61.11,16093926.0
111.36,111.51,110.33,111.225,20866996.0,158.66,159.0,157.28,158.05,2186055.0,61.01,61.1,60.25,60.4,15372652.0
111.13,111.87,110.95,111.78,9630641.0,158.63,158.63,157.6,158.08,1195947.0,60.3,60.53,60.13,60.53,6353319.0
111.43,112.465,111.39,111.58,19275066.0,157.86,158.49,156.89,156.99,3026836.0,60.34,61.02,60.21,60.63,14506736.0
110.78,112.03,110.07,111.46,24141040.0,157.509,157.98,156.82,157.74,1869971.0,60.65,61.41,60.52,61.11,17797603.0
111.61,112.2,110.27,110.52,25114403.0,158.42,158.89,157.42,157.53,2829909.0,60.86,61.18,60.215,60.26,22149111.0
110.39,110.94,109.03,109.47,29694946.0,157.58,160.24,157.51,160.17,3545983.0,60.07,60.15,58.935,59.18,27570405.0
