,GILD,GILD,GILD,GILD,GILD
,open,high,low,close,volume
time,,,,,
2020-07-06 15:30:00-04:00,76.675,76.74,76.585,76.665,7818
2020-07-06 15:45:00-04:00,76.655,76.9,76.65,76.78,20392
2020-07-07 09:30:00-04:00,76.56,76.86,76.4,76.41,6655
2020-07-07 09:45:00-04:00,76.5,76.93,76.5,76.77,9667
2020-07-07 10:00:00-04:00,76.79,76.83,76.545,76.585,7083
2020-07-07 10:15:00-04:00,76.59,76.69,76.45,76.49,4354
2020-07-07 10:30:00-04:00,76.54,76.63,76.465,76.505,4456
2020-07-07 10:45:00-04:00,76.49,76.7,76.485,76.575,5745
2020-07-07 11:00:00-04:00,76.59,76.85,76.59,76.77,4666
2020-07-07 11:15:00-04:00,76.73,76.86,76.71,76.83,4411
2020-07-07 11:30:00-04:00,76.86,76.86,76.68,76.8,7263
2020-07-07 11:45:00-04:00,76.78,76.86,76.66,76.68,12748
2020-07-07 12:00:00-04:00,76.685,76.78,76.6,76.63,6134
2020-07-07 12:15:00-04:00,76.67,76.69,76.585,76.585,1876
2020-07-07 12:30:00-04:00,76.555,76.555,76.34,76.34,4909
2020-07-07 12:45:00-04:00,76.525,76.645,76.525,76.615,2423
2020-07-07 13:00:00-04:00,76.63,76.65,76.52,76.62,3582
2020-07-07 13:15:00-04:00,76.68,76.71,76.65,76.71,3194
2020-07-07 13:30:00-04:00,76.69,76.735,76.655,76.69,2084
2020-07-07 13:45:00-04:00,76.67,76.67,76.58,76.67,38590
2020-07-07 14:00:00-04:00,76.645,76.745,76.61,76.74,5110
2020-07-07 14:15:00-04:00,76.74,76.74,76.62,76.62,2474
2020-07-07 14:30:00-04:00,76.58,76.65,76.505,76.65,4181
2020-07-07 14:45:00-04:00,76.63,76.73,76.61,76.71,4251
2020-07-07 15:00:00-04:00,76.69,76.725,76.605,76.62,8365
2020-07-07 15:15:00-04:00,76.64,76.75,76.605,76.61,5913
2020-07-07 15:30:00-04:00,76.59,76.59,76.46,76.52,1701
2020-07-07 15:45:00-04:00,76.51,76.52,76.36,76.4,18792
